"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","15 Mar 2023","17166.45","17211.35","16938.90","16972.15"
"NIFTY 50","14 Mar 2023","17160.55","17224.65","16987.10","17043.30"
"NIFTY 50","13 Mar 2023","17421.90","17529.90","17113.45","17154.30"
"NIFTY 50","10 Mar 2023","17443.80","17451.50","17324.35","17412.90"
"NIFTY 50","09 Mar 2023","17772.05","17772.35","17573.60","17589.60"
"NIFTY 50","08 Mar 2023","17665.75","17766.50","17602.25","17754.40"
"NIFTY 50","06 Mar 2023","17680.35","17799.95","17671.95","17711.45"
"NIFTY 50","03 Mar 2023","17451.25","17644.75","17427.70","17594.35"
"NIFTY 50","02 Mar 2023","17421.50","17445.80","17306.00","17321.90"
"NIFTY 50","01 Mar 2023","17360.10","17467.75","17345.25","17450.90"
"NIFTY 50","28 Feb 2023","17383.25","17440.45","17255.20","17303.95"
"NIFTY 50","27 Feb 2023","17428.60","17451.60","17299.00","17392.70"
"NIFTY 50","24 Feb 2023","17591.35","17599.75","17421.80","17465.80"
"NIFTY 50","23 Feb 2023","17574.65","17620.05","17455.40","17511.25"
"NIFTY 50","22 Feb 2023","17755.35","17772.50","17529.45","17554.30"
"NIFTY 50","21 Feb 2023","17905.80","17924.90","17800.30","17826.70"
"NIFTY 50","20 Feb 2023","17965.55","18004.35","17818.40","17844.60"
"NIFTY 50","17 Feb 2023","17974.85","18034.25","17884.60","17944.20"
"NIFTY 50","16 Feb 2023","18094.75","18134.75","18000.65","18035.85"
"NIFTY 50","15 Feb 2023","17896.60","18034.10","17853.80","18015.85"
"NIFTY 50","14 Feb 2023","17840.35","17954.55","17800.05","17929.85"
"NIFTY 50","13 Feb 2023","17859.10","17880.70","17719.75","17770.90"
"NIFTY 50","10 Feb 2023","17847.55","17876.95","17801.00","17856.50"
"NIFTY 50","09 Feb 2023","17885.50","17916.90","17779.80","17893.45"
"NIFTY 50","08 Feb 2023","17750.30","17898.70","17744.15","17871.70"
"NIFTY 50","07 Feb 2023","17790.10","17811.15","17652.55","17721.50"
"NIFTY 50","06 Feb 2023","17818.55","17823.70","17698.35","17764.60"
"NIFTY 50","03 Feb 2023","17721.75","17870.30","17584.20","17854.05"
"NIFTY 50","02 Feb 2023","17517.10","17653.90","17445.95","17610.40"
"NIFTY 50","01 Feb 2023","17811.60","17972.20","17353.40","17616.30"
"NIFTY 50","31 Jan 2023","17731.45","17735.70","17537.55","17662.15"
"NIFTY 50","30 Jan 2023","17541.95","17709.15","17405.55","17648.95"
"NIFTY 50","27 Jan 2023","17877.20","17884.75","17493.55","17604.35"
"NIFTY 50","25 Jan 2023","18093.35","18100.60","17846.15","17891.95"
"NIFTY 50","24 Jan 2023","18183.95","18201.25","18078.65","18118.30"
"NIFTY 50","23 Jan 2023","18118.45","18162.60","18063.45","18118.55"
"NIFTY 50","20 Jan 2023","18115.60","18145.45","18016.20","18027.65"
"NIFTY 50","19 Jan 2023","18119.80","18155.20","18063.75","18107.85"
"NIFTY 50","18 Jan 2023","18074.30","18183.75","18032.45","18165.35"
"NIFTY 50","17 Jan 2023","17922.80","18072.05","17886.95","18053.30"
"NIFTY 50","16 Jan 2023","18033.15","18049.65","17853.65","17894.85"
"NIFTY 50","13 Jan 2023","17867.50","17999.35","17774.25","17956.60"
"NIFTY 50","12 Jan 2023","17920.85","17945.80","17761.65","17858.20"
"NIFTY 50","11 Jan 2023","17924.25","17976.35","17824.35","17895.70"
"NIFTY 50","10 Jan 2023","18121.30","18127.60","17856.00","17914.15"
"NIFTY 50","09 Jan 2023","17952.55","18141.40","17936.15","18101.20"
"NIFTY 50","06 Jan 2023","18008.05","18047.40","17795.55","17859.45"
"NIFTY 50","05 Jan 2023","18101.95","18120.30","17892.60","17992.15"
"NIFTY 50","04 Jan 2023","18230.65","18243.00","18020.60","18042.95"
"NIFTY 50","03 Jan 2023","18163.20","18251.95","18149.80","18232.55"
"NIFTY 50","02 Jan 2023","18131.70","18215.15","18086.50","18197.45"
"NIFTY 50","30 Dec 2022","18259.10","18265.25","18080.30","18105.30"
"NIFTY 50","29 Dec 2022","18045.70","18229.70","17992.80","18191.00"
"NIFTY 50","28 Dec 2022","18084.75","18173.10","18068.35","18122.50"
"NIFTY 50","27 Dec 2022","18089.80","18149.25","17967.45","18132.30"
"NIFTY 50","26 Dec 2022","17830.40","18084.10","17774.25","18014.60"
"NIFTY 50","23 Dec 2022","17977.65","18050.45","17779.50","17806.80"
"NIFTY 50","22 Dec 2022","18288.80","18318.75","18068.60","18127.35"
"NIFTY 50","21 Dec 2022","18435.15","18473.35","18162.75","18199.10"
"NIFTY 50","20 Dec 2022","18340.30","18404.90","18202.65","18385.30"
"NIFTY 50","19 Dec 2022","18288.10","18431.65","18244.55","18420.45"
"NIFTY 50","16 Dec 2022","18319.10","18440.95","18255.15","18269.00"
"NIFTY 50","15 Dec 2022","18614.40","18652.90","18387.70","18414.90"
"NIFTY 50","14 Dec 2022","18671.25","18696.10","18632.90","18660.30"
"NIFTY 50","13 Dec 2022","18524.40","18617.25","18490.20","18608.00"
"NIFTY 50","12 Dec 2022","18402.15","18521.55","18345.70","18497.15"
"NIFTY 50","09 Dec 2022","18662.40","18664.70","18410.10","18496.60"
"NIFTY 50","08 Dec 2022","18570.85","18625.00","18536.95","18609.35"
"NIFTY 50","07 Dec 2022","18638.85","18668.30","18528.40","18560.50"
"NIFTY 50","06 Dec 2022","18600.65","18654.90","18577.90","18642.75"
"NIFTY 50","05 Dec 2022","18719.55","18728.60","18591.35","18701.05"
"NIFTY 50","02 Dec 2022","18752.40","18781.95","18639.20","18696.10"
"NIFTY 50","01 Dec 2022","18871.95","18887.60","18778.20","18812.50"
"NIFTY 50","30 Nov 2022","18625.70","18816.05","18616.55","18758.35"
"NIFTY 50","29 Nov 2022","18552.45","18678.10","18552.15","18618.05"
"NIFTY 50","28 Nov 2022","18430.55","18614.25","18365.60","18562.75"
"NIFTY 50","25 Nov 2022","18528.45","18534.90","18445.10","18512.75"
"NIFTY 50","24 Nov 2022","18326.10","18529.70","18294.25","18484.10"
"NIFTY 50","23 Nov 2022","18325.20","18325.40","18246.00","18267.25"
"NIFTY 50","22 Nov 2022","18179.15","18261.85","18137.70","18244.20"
"NIFTY 50","21 Nov 2022","18246.40","18262.30","18133.35","18159.95"
"NIFTY 50","18 Nov 2022","18382.95","18394.60","18209.80","18307.65"
"NIFTY 50","17 Nov 2022","18358.70","18417.60","18312.95","18343.90"
"NIFTY 50","16 Nov 2022","18398.25","18442.15","18344.15","18409.65"
"NIFTY 50","15 Nov 2022","18362.75","18427.95","18282.00","18403.40"
"NIFTY 50","14 Nov 2022","18376.40","18399.45","18311.40","18329.15"
"NIFTY 50","11 Nov 2022","18272.35","18362.30","18259.35","18349.70"
"NIFTY 50","10 Nov 2022","18044.35","18103.10","17969.40","18028.20"
"NIFTY 50","09 Nov 2022","18288.25","18296.40","18117.50","18157.00"
"NIFTY 50","07 Nov 2022","18211.75","18255.50","18064.75","18202.80"
"NIFTY 50","04 Nov 2022","18053.40","18135.10","18017.15","18117.15"
"NIFTY 50","03 Nov 2022","17968.35","18106.30","17959.20","18052.70"
"NIFTY 50","02 Nov 2022","18177.90","18178.75","18048.65","18082.85"
"NIFTY 50","01 Nov 2022","18130.70","18175.80","18060.15","18145.40"
"NIFTY 50","31 Oct 2022","17910.20","18022.80","17899.90","18012.20"
"NIFTY 50","28 Oct 2022","17756.40","17838.90","17723.70","17786.80"
"NIFTY 50","27 Oct 2022","17771.40","17783.90","17654.50","17736.95"
"NIFTY 50","25 Oct 2022","17808.30","17811.50","17637.00","17656.35"
"NIFTY 50","24 Oct 2022","17736.35","17777.55","17707.40","17730.75"
"NIFTY 50","21 Oct 2022","17622.85","17670.15","17520.75","17576.30"
"NIFTY 50","20 Oct 2022","17423.10","17584.15","17421.00","17563.95"
"NIFTY 50","19 Oct 2022","17568.15","17607.60","17472.85","17512.25"
"NIFTY 50","18 Oct 2022","17438.75","17527.80","17434.05","17486.95"
"NIFTY 50","17 Oct 2022","17144.80","17328.55","17098.55","17311.80"
"NIFTY 50","14 Oct 2022","17322.30","17348.55","17169.75","17185.70"
"NIFTY 50","13 Oct 2022","17087.35","17112.35","16956.95","17014.35"
"NIFTY 50","12 Oct 2022","17025.55","17142.35","16960.05","17123.60"
"NIFTY 50","11 Oct 2022","17256.05","17261.80","16950.30","16983.55"
"NIFTY 50","10 Oct 2022","17094.35","17280.15","17064.70","17241.00"
"NIFTY 50","07 Oct 2022","17287.20","17337.35","17216.95","17314.65"
"NIFTY 50","06 Oct 2022","17379.25","17428.80","17315.65","17331.80"
"NIFTY 50","04 Oct 2022","17147.45","17287.30","17117.30","17274.30"
"NIFTY 50","03 Oct 2022","17102.10","17114.65","16855.55","16887.35"
"NIFTY 50","30 Sep 2022","16798.05","17187.10","16747.70","17094.35"
"NIFTY 50","29 Sep 2022","16993.60","17026.05","16788.60","16818.10"
"NIFTY 50","28 Sep 2022","16870.55","17037.60","16820.40","16858.60"
"NIFTY 50","27 Sep 2022","17110.90","17176.45","16942.35","17007.40"
"NIFTY 50","26 Sep 2022","17156.30","17196.40","16978.30","17016.30"
"NIFTY 50","23 Sep 2022","17593.85","17642.15","17291.65","17327.35"
"NIFTY 50","22 Sep 2022","17609.65","17722.75","17532.45","17629.80"
